date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-01-18,2021-01-25,210400,210400,48,201,11.0,-95.36219926321468,29.786441640280504,-95.34219926321468,29.806441640280504,2.9417700439897794
2021-01-18,2021-01-25,210400,212300,48,201,8.0,-95.35496487225383,29.77520173301338,-95.34219926321468,29.806441640280504,3.6763019816792566
2021-01-18,2021-01-25,210700,210400,48,201,4.0,-95.36219926321468,29.786441640280504,-95.33352079308406,29.826730618144694,5.256569452617861
2021-01-18,2021-01-25,210700,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.33352079308406,29.826730618144694,2.9415186906762822
2021-01-18,2021-01-25,210700,252100,48,201,4.0,-95.13592268247119,29.885702986188743,-95.33352079308406,29.826730618144694,20.181015309124994
2021-01-18,2021-01-25,211000,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.31214888345326,29.81709118922878,4.160959921795531
2021-01-18,2021-01-25,211000,211000,48,201,9.0,-95.33214888345326,29.79709118922878,-95.31214888345326,29.81709118922878,2.9416381261332614
2021-01-18,2021-01-25,211000,211600,48,201,4.0,-95.3115924142803,29.780919314997107,-95.31214888345326,29.81709118922878,4.0099792466504125
2021-01-18,2021-01-25,211200,210900,48,201,4.0,-95.33124261588128,29.804158522300767,-95.3003735110632,29.81817343959775,3.3642469508001627
2021-01-18,2021-01-25,211200,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.3003735110632,29.81817343959775,2.0313952029832087
2021-01-18,2021-01-25,211200,230100,48,201,4.0,-95.33001773553856,29.81406204639238,-95.3003735110632,29.81817343959775,2.901534951448351
2021-01-18,2021-01-25,211200,230200,48,201,4.0,-95.3056457403535,29.819548549913243,-95.3003735110632,29.81817343959775,0.531927222877009
2021-01-18,2021-01-25,211200,231200,48,201,4.0,-95.24618147099152,29.865248381251327,-95.3003735110632,29.81817343959775,7.393034738162055
2021-01-18,2021-01-25,212400,211600,48,201,4.0,-95.3115924142803,29.780919314997107,-95.26462135414886,29.807511485285772,5.414165922011832
2021-01-18,2021-01-25,212400,211900,48,201,14.0,-95.29950976465496,29.783816949955913,-95.26462135414886,29.807511485285772,4.275111210045488
2021-01-18,2021-01-25,212400,212400,48,201,8.0,-95.28462135414885,29.787511485285773,-95.26462135414886,29.807511485285772,2.941756793209277
2021-01-18,2021-01-25,212400,231000,48,201,4.0,-95.27707190639502,29.840216866984427,-95.26462135414886,29.807511485285772,3.819891084843508
2021-01-18,2021-01-25,212400,310400,48,201,4.0,-95.32951845194955,29.751003774938045,-95.26462135414886,29.807511485285772,8.866626879003103
2021-01-18,2021-01-25,220300,220200,48,201,10.0,-95.36493694980507,29.81655605029524,-95.34565876993182,29.84423685457451,3.5898129941822603
2021-01-18,2021-01-25,220300,220300,48,201,6.0,-95.36565876993181,29.82423685457451,-95.34565876993182,29.84423685457451,2.941301709881175
2021-01-18,2021-01-25,220300,220400,48,201,13.0,-95.36599835919098,29.833034413346038,-95.34565876993182,29.84423685457451,2.3250483207552
2021-01-18,2021-01-25,220300,220600,48,201,5.0,-95.36688015395994,29.841805130717702,-95.34565876993182,29.84423685457451,2.068426733215808
2021-01-18,2021-01-25,220300,221100,48,201,8.0,-95.35623267076588,29.859871517115696,-95.34565876993182,29.84423685457451,2.011866451056256
2021-01-18,2021-01-25,220300,332200,48,201,5.0,-95.32992461050551,29.68056910987263,-95.34565876993182,29.84423685457451,18.206023296197372
2021-01-18,2021-01-25,220300,530300,48,201,4.0,-95.38878982303882,29.817525961047057,-95.34565876993182,29.84423685457451,5.113124963178792
2021-01-18,2021-01-25,220300,530600,48,201,4.0,-95.40520525231075,29.831331035814156,-95.34565876993182,29.84423685457451,5.929895705622324
2021-01-18,2021-01-25,220300,550500,48,201,4.0,-95.44546399884509,29.952517037464364,-95.34565876993182,29.84423685457451,15.394575252897841
2021-01-18,2021-01-25,220400,231700,48,201,4.0,-95.31985967156243,29.876120695170137,-95.34599835919099,29.853034413346037,3.595405732191835
2021-01-18,2021-01-25,220500,210400,48,201,28.0,-95.36219926321468,29.786441640280504,-95.36146449708586,29.856206212409543,7.733689645907903
2021-01-18,2021-01-25,220500,210500,48,201,20.0,-95.36039174237781,29.79525478820259,-95.36146449708586,29.856206212409543,6.75723111178897
2021-01-18,2021-01-25,220500,210600,48,201,28.0,-95.36535987660318,29.807040425161116,-95.36146449708586,29.856206212409543,5.462996487952617
2021-01-18,2021-01-25,220500,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.36146449708586,29.856206212409543,5.537827849677234
2021-01-18,2021-01-25,220500,210800,48,201,4.0,-95.34508927948481,29.79438352529337,-95.36146449708586,29.856206212409543,7.033411776134741
2021-01-18,2021-01-25,220500,210900,48,201,4.0,-95.33124261588128,29.804158522300767,-95.36146449708586,29.856206212409543,6.4667353291348135
2021-01-18,2021-01-25,220500,211000,48,201,14.0,-95.33214888345326,29.79709118922878,-95.36146449708586,29.856206212409543,7.139230788575887
2021-01-18,2021-01-25,220500,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.36146449708586,29.856206212409543,7.5601338975119265
2021-01-18,2021-01-25,220500,211400,48,201,8.0,-95.3281844317412,29.765855575808306,-95.36146449708586,29.856206212409543,10.519326256613121
2021-01-18,2021-01-25,220500,220100,48,201,4.0,-95.34346359932209,29.815162746501016,-95.36146449708586,29.856206212409543,4.87092340159055
2021-01-18,2021-01-25,220500,220200,48,201,12.0,-95.36493694980507,29.81655605029524,-95.36146449708586,29.856206212409543,4.4080014735090955
2021-01-18,2021-01-25,220500,220300,48,201,4.0,-95.36565876993181,29.82423685457451,-95.36146449708586,29.856206212409543,3.566901162301322
2021-01-18,2021-01-25,220500,220400,48,201,48.0,-95.36599835919098,29.833034413346038,-95.36146449708586,29.856206212409543,2.605689328660099
2021-01-18,2021-01-25,220500,220500,48,201,110.0,-95.38146449708586,29.836206212409543,-95.36146449708586,29.856206212409543,2.941153301529151
2021-01-18,2021-01-25,220500,220600,48,201,33.0,-95.36688015395994,29.841805130717702,-95.36146449708586,29.856206212409543,1.6799495056424303
2021-01-18,2021-01-25,220500,220800,48,201,14.0,-95.33870373924574,29.830846903970553,-95.36146449708586,29.856206212409543,3.569328615538767
2021-01-18,2021-01-25,220500,220900,48,201,6.0,-95.33763747360625,29.848840790875023,-95.36146449708586,29.856206212409543,2.4428509323966976
2021-01-18,2021-01-25,220500,221000,48,201,21.0,-95.3446748913805,29.85970113525277,-95.36146449708586,29.856206212409543,1.6678861145969135
2021-01-18,2021-01-25,220500,221100,48,201,22.0,-95.35623267076588,29.859871517115696,-95.36146449708586,29.856206212409543,0.6485567672304356
2021-01-18,2021-01-25,220500,221200,48,201,32.0,-95.37403478726925,29.86459525749974,-95.36146449708586,29.856206212409543,1.5296750481534167
2021-01-18,2021-01-25,220500,221400,48,201,30.0,-95.39156714413038,29.85343575395205,-95.36146449708586,29.856206212409543,2.9248781235349455
2021-01-18,2021-01-25,220500,221800,48,201,4.0,-95.36110160668426,29.882439807436544,-95.36146449708586,29.856206212409543,2.908211724397285
2021-01-18,2021-01-25,220500,221900,48,201,8.0,-95.34910391986152,29.8818680148654,-95.36146449708586,29.856206212409543,3.085114686288303
