date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-01-11,2021-01-18,210400,210400,48,201,16.0,-95.36219926321468,29.786441640280504,-95.34219926321468,29.806441640280504,2.9417700439897794
2021-01-11,2021-01-18,210400,210500,48,201,8.0,-95.36039174237781,29.79525478820259,-95.34219926321468,29.806441640280504,2.152016214537904
2021-01-11,2021-01-18,210400,532502,48,201,4.0,-95.5002741331924,29.886023571172128,-95.34219926321468,29.806441640280504,17.639803666732796
2021-01-11,2021-01-18,210700,210400,48,201,4.0,-95.36219926321468,29.786441640280504,-95.33352079308406,29.826730618144694,5.256569452617861
2021-01-11,2021-01-18,210700,210500,48,201,6.0,-95.36039174237781,29.79525478820259,-95.33352079308406,29.826730618144694,4.349831351717096
2021-01-11,2021-01-18,210700,210700,48,201,8.0,-95.35352079308406,29.806730618144694,-95.33352079308406,29.826730618144694,2.9415186906762822
2021-01-11,2021-01-18,210700,212300,48,201,4.0,-95.35496487225383,29.77520173301338,-95.33352079308406,29.826730618144694,6.076529005647256
2021-01-11,2021-01-18,210700,330301,48,201,4.0,-95.47216803282949,29.636131787496918,-95.33352079308406,29.826730618144694,25.025795164977325
2021-01-11,2021-01-18,211000,210800,48,201,4.0,-95.34508927948481,29.79438352529337,-95.31214888345326,29.81709118922878,4.059157588532203
2021-01-11,2021-01-18,211000,211000,48,201,8.0,-95.33214888345326,29.79709118922878,-95.31214888345326,29.81709118922878,2.9416381261332614
2021-01-11,2021-01-18,211000,230600,48,201,4.0,-95.3092658042534,29.844872283241784,-95.31214888345326,29.81709118922878,3.092104021653287
2021-01-11,2021-01-18,211000,534003,48,201,4.0,-95.5124370340759,29.930164016173286,-95.31214888345326,29.81709118922878,23.054453223303742
2021-01-11,2021-01-18,211200,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.3003735110632,29.81817343959775,2.0313952029832087
2021-01-11,2021-01-18,211200,230200,48,201,4.0,-95.3056457403535,29.819548549913243,-95.3003735110632,29.81817343959775,0.531927222877009
2021-01-11,2021-01-18,211200,231200,48,201,4.0,-95.24618147099152,29.865248381251327,-95.3003735110632,29.81817343959775,7.393034738162055
2021-01-11,2021-01-18,212400,211900,48,201,16.0,-95.29950976465496,29.783816949955913,-95.26462135414886,29.807511485285772,4.275111210045488
2021-01-11,2021-01-18,212400,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.26462135414886,29.807511485285772,2.941756793209277
2021-01-11,2021-01-18,212400,310600,48,201,4.0,-95.32481961681107,29.73253911630548,-95.26462135414886,29.807511485285772,10.146790958172316
2021-01-11,2021-01-18,220300,220100,48,201,4.0,-95.34346359932209,29.815162746501016,-95.34565876993182,29.84423685457451,3.2298285765307724
2021-01-11,2021-01-18,220300,220300,48,201,11.0,-95.36565876993181,29.82423685457451,-95.34565876993182,29.84423685457451,2.941301709881175
2021-01-11,2021-01-18,220300,220400,48,201,8.0,-95.36599835919098,29.833034413346038,-95.34565876993182,29.84423685457451,2.3250483207552
