date_range_start,date_range_end,School_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,School_LON,School_LAT,Distance_Covered (km)
2021-03-15,2021-03-22,210500,210500,48,201,6.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764549514
2021-03-15,2021-03-22,210500,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.34039174237782,29.81525478820259,3.83659541725853
2021-03-15,2021-03-22,210500,550800,48,201,4.0,-95.47593936805826,29.95059032335285,-95.34039174237782,29.81525478820259,19.912507145760095
2021-03-15,2021-03-22,211200,210900,48,201,4.0,-95.33124261588128,29.804158522300767,-95.3003735110632,29.81817343959775,3.364246950800869
2021-03-15,2021-03-22,211200,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.3003735110632,29.81817343959775,3.859687951629191
2021-03-15,2021-03-22,211200,324000,48,201,4.0,-95.17200629634564,29.641858894216384,-95.3003735110632,29.81817343959775,23.156093239530573
2021-03-15,2021-03-22,211400,211400,48,201,4.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-03-15,2021-03-22,211400,230400,48,201,4.0,-95.32520075126693,29.830587675967912,-95.30818443174121,29.785855575808306,5.224259958682468
2021-03-15,2021-03-22,211700,342400,48,201,4.0,-95.14845873800128,29.694771557507693,-95.28463973134097,29.820229337643998,19.15424524745347
2021-03-15,2021-03-22,211900,211900,48,201,4.0,-95.29950976465496,29.783816949955913,-95.27950976465496,29.803816949955912,2.941802551125056
2021-03-15,2021-03-22,211900,233300,48,201,4.0,-95.19970369281965,29.754936089700713,-95.27950976465496,29.803816949955912,9.429395835564984
2021-03-15,2021-03-22,212500,212500,48,201,4.0,-95.27957072565626,29.754279827791148,-95.25957072565626,29.774279827791148,2.9421682257630564
2021-03-15,2021-03-22,220200,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.34493694980507,29.83655605029524,3.8211858198119026
2021-03-15,2021-03-22,220400,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.34599835919099,29.853034413346037,5.430983117287978
2021-03-15,2021-03-22,220400,220500,48,201,5.0,-95.38146449708586,29.836206212409543,-95.34599835919099,29.853034413346037,3.9020776838363918
2021-03-15,2021-03-22,220400,230100,48,201,4.0,-95.33001773553856,29.81406204639238,-95.34599835919099,29.853034413346037,4.587858002870301
2021-03-15,2021-03-22,220400,323802,48,201,5.0,-95.17910148676559,29.67324415073919,-95.34599835919099,29.853034413346037,25.646189403146032
2021-03-15,2021-03-22,220400,522301,48,201,4.0,-95.52689856242071,29.790246032977002,-95.34599835919099,29.853034413346037,18.819817334954053
2021-03-15,2021-03-22,220400,533902,48,201,4.0,-95.50115768330681,29.930391360292237,-95.34599835919099,29.853034413346037,17.266759973664392
2021-03-15,2021-03-22,220400,540700,48,201,4.0,-95.61510688240666,29.857143141703173,-95.34599835919099,29.853034413346037,26.006904172256714
2021-03-15,2021-03-22,220600,221100,48,201,4.0,-95.35623267076588,29.859871517115696,-95.34688015395994,29.861805130717702,0.928718556981883
2021-03-15,2021-03-22,221000,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.32467489138051,29.87970113525277,8.962810764820212
2021-03-15,2021-03-22,221000,221000,48,201,4.0,-95.3446748913805,29.85970113525277,-95.32467489138051,29.87970113525277,2.9408618592206395
2021-03-15,2021-03-22,221000,231700,48,201,4.0,-95.31985967156243,29.876120695170137,-95.32467489138051,29.87970113525277,0.6114798390858874
2021-03-15,2021-03-22,221000,313600,48,201,4.0,-95.35757419390097,29.69164801191221,-95.32467489138051,29.87970113525277,21.08680170189124
2021-03-15,2021-03-22,221200,540502,48,201,6.0,-95.63088266671232,29.846971171985047,-95.35403478726926,29.88459525749974,27.071085041785196
2021-03-15,2021-03-22,221400,221200,48,201,4.0,-95.37403478726925,29.86459525749974,-95.37156714413038,29.873435753952048,1.0085537828099174
2021-03-15,2021-03-22,221400,221400,48,201,5.0,-95.39156714413038,29.85343575395205,-95.37156714413038,29.873435753952048,2.9409395946236647
2021-03-15,2021-03-22,222000,222800,48,201,4.0,-95.36626410398357,29.918118924961256,-95.31711571651395,29.888392481248268,5.778396530611286
2021-03-15,2021-03-22,222000,333700,48,201,4.0,-95.29310609153936,29.63562185493391,-95.31711571651395,29.888392481248268,28.115288077737834
2021-03-15,2021-03-22,222100,231100,48,201,7.0,-95.25255521107573,29.828956826520958,-95.31485200816478,29.89952892562481,9.870459162681797
2021-03-15,2021-03-22,222100,511600,48,201,5.0,-95.37704192276853,29.80301155870071,-95.31485200816478,29.89952892562481,12.271116163619611
2021-03-15,2021-03-22,222200,221800,48,201,4.0,-95.36110160668426,29.882439807436544,-95.30365678946933,29.914006114669466,6.559534173823125
2021-03-15,2021-03-22,222200,222402,48,201,4.0,-95.38845568912652,29.909137931012296,-95.30365678946933,29.914006114669466,8.206935561521657
2021-03-15,2021-03-22,222200,222800,48,201,4.0,-95.36626410398357,29.918118924961256,-95.30365678946933,29.914006114669466,6.062989410689486
2021-03-15,2021-03-22,222200,222900,48,201,4.0,-95.34481880296913,29.914380757718657,-95.30365678946933,29.914006114669466,3.975198755959913
2021-03-15,2021-03-22,222200,223100,48,201,4.0,-95.32321968100139,29.925282130748098,-95.30365678946933,29.914006114669466,2.265166688168047
2021-03-15,2021-03-22,222200,230400,48,201,4.0,-95.32520075126693,29.830587675967912,-95.30365678946933,29.914006114669466,9.47830514037206
2021-03-15,2021-03-22,222501,222401,48,201,5.0,-95.39465702073797,29.90058042578654,-95.38583969129132,29.948314279055552,5.35941183160642
2021-03-15,2021-03-22,222501,222402,48,201,4.0,-95.38845568912652,29.909137931012296,-95.38583969129132,29.948314279055552,4.35008630872277
2021-03-15,2021-03-22,222501,222501,48,201,4.0,-95.40583969129132,29.928314279055552,-95.38583969129132,29.948314279055552,2.94000977765801
2021-03-15,2021-03-22,222800,223100,48,201,4.0,-95.32321968100139,29.925282130748098,-95.34626410398357,29.938118924961255,2.6411070086794393
2021-03-15,2021-03-22,222800,232100,48,201,4.0,-95.30628037376154,29.905324618323238,-95.34626410398357,29.938118924961255,5.303007929515281
2021-03-15,2021-03-22,222800,533600,48,201,5.0,-95.42511149334365,29.90854222529019,-95.34626410398357,29.938118924961255,8.289460936436292
2021-03-15,2021-03-22,222900,221000,48,201,4.0,-95.3446748913805,29.85970113525277,-95.32481880296913,29.934380757718657,8.497533920664061
2021-03-15,2021-03-22,222900,222900,48,201,4.0,-95.34481880296913,29.914380757718657,-95.32481880296913,29.934380757718657,2.94018292993721
2021-03-15,2021-03-22,222900,231400,48,201,4.0,-95.28578944492327,29.864834811625474,-95.32481880296913,29.934380757718657,8.581481584589815
2021-03-15,2021-03-22,230200,250500,48,201,4.0,-95.1961732193427,29.99311732149243,-95.2856457403535,29.839548549913243,19.090379063718682
2021-03-15,2021-03-22,230300,230300,48,201,4.0,-95.31271959612924,29.834733283177915,-95.29271959612925,29.854733283177914,2.9411715667915006
2021-03-15,2021-03-22,230400,222501,48,201,4.0,-95.40583969129132,29.928314279055552,-95.30520075126694,29.850587675967912,12.989778787809296
2021-03-15,2021-03-22,230400,230400,48,201,4.0,-95.32520075126693,29.830587675967912,-95.30520075126694,29.850587675967912,2.9412229713875115
2021-03-15,2021-03-22,230400,451700,48,201,4.0,-95.63151710461574,29.7324305032411,-95.30520075126694,29.850587675967912,34.161229667194846
2021-03-15,2021-03-22,230500,222502,48,201,4.0,-95.38790883649531,29.92387884582446,-95.3087184183885,29.868549831231206,9.804075077463885
2021-03-15,2021-03-22,230900,230900,48,201,4.0,-95.28097590593167,29.817866387035284,-95.26097590593167,29.837866387035284,2.9413806794725854
2021-03-15,2021-03-22,230900,231300,48,201,4.0,-95.27165862621483,29.85769836312809,-95.26097590593167,29.837866387035284,2.4286816581159933
2021-03-15,2021-03-22,231200,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.22618147099152,29.885248381251326,12.09569172816693
2021-03-15,2021-03-22,231800,230500,48,201,4.0,-95.32871841838849,29.848549831231207,-95.28647064011396,29.89710501828628,6.754891456069978
2021-03-15,2021-03-22,231800,231600,48,201,4.0,-95.3074846673122,29.861744420320807,-95.28647064011396,29.89710501828628,4.414214016954655
2021-03-15,2021-03-22,231800,231900,48,201,4.0,-95.2789528133655,29.882440029941225,-95.28647064011396,29.89710501828628,1.7804403529847692
2021-03-15,2021-03-22,232000,233103,48,201,4.0,-95.17627140872492,29.776464363683292,-95.25038483176638,29.924300520799417,17.884161056551115
2021-03-15,2021-03-22,232000,533600,48,201,4.0,-95.42511149334365,29.90854222529019,-95.25038483176638,29.924300520799417,16.963015088821212
2021-03-15,2021-03-22,232100,221900,48,201,4.0,-95.34910391986152,29.8818680148654,-95.28628037376154,29.925324618323238,7.747224614607261
2021-03-15,2021-03-22,232100,223002,48,201,4.0,-95.3276960184801,29.906774025731075,-95.28628037376154,29.925324618323238,4.4970867968122965
2021-03-15,2021-03-22,232100,231700,48,201,4.0,-95.31985967156243,29.876120695170137,-95.28628037376154,29.925324618323238,6.345660385391882
2021-03-15,2021-03-22,232600,212500,48,201,6.0,-95.27957072565626,29.754279827791148,-95.22943242915598,29.803180127814624,7.272464409391205
2021-03-15,2021-03-22,233001,232402,48,201,4.0,-95.1879798576787,29.811841181450177,-95.1625604971158,29.817152927028168,2.5267300840037543
2021-03-15,2021-03-22,233002,251902,48,201,4.0,-95.09618864708507,29.90810929867071,-95.15018305777124,29.821723293873422,10.904701226682269
2021-03-15,2021-03-22,233003,233003,48,201,4.0,-95.17075286642775,29.793670918128047,-95.15075286642775,29.813670918128047,2.941680497450694
2021-03-15,2021-03-22,233103,230500,48,201,5.0,-95.32871841838849,29.848549831231207,-95.15627140872492,29.79646436368329,17.639929722296316
2021-03-15,2021-03-22,233200,233200,48,201,8.0,-95.19213609393428,29.779685438481113,-95.17213609393428,29.799685438481113,2.9418537161340352
2021-03-15,2021-03-22,233200,252800,48,201,4.0,-95.03319623219093,29.86200305739162,-95.17213609393428,29.799685438481113,15.10107713822969
2021-03-15,2021-03-22,233300,232701,48,201,4.0,-95.2278273334352,29.788649630360545,-95.17970369281966,29.774936089700713,4.895394087985379
2021-03-15,2021-03-22,233300,233300,48,201,4.0,-95.19970369281965,29.754936089700713,-95.17970369281966,29.774936089700713,2.942160104052433
2021-03-15,2021-03-22,233300,252500,48,201,4.0,-95.12520681405454,29.762548924008605,-95.17970369281966,29.774936089700713,5.446282096812382
2021-03-15,2021-03-22,233702,231100,48,201,4.0,-95.25255521107573,29.828956826520958,-95.21788869738793,29.767392785389962,7.602922898154503
