date_range_start,date_range_end,School_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,School_LON,School_LAT,Distance_Covered (km)
2021-02-08,2021-02-15,210400,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.34219926321468,29.806441640280504,1.0949530295508854
2021-02-08,2021-02-15,210500,210400,48,201,4.0,-95.36219926321468,29.786441640280504,-95.34039174237782,29.81525478820259,3.827017379853493
2021-02-08,2021-02-15,210500,210500,48,201,8.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764549514
2021-02-08,2021-02-15,210500,210800,48,201,6.0,-95.34508927948481,29.79438352529337,-95.34039174237782,29.81525478820259,2.3577118080109014
2021-02-08,2021-02-15,210500,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.34039174237782,29.81525478820259,2.165375806507984
2021-02-08,2021-02-15,210500,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.34039174237782,29.81525478820259,2.7074398117116574
2021-02-08,2021-02-15,210500,520400,48,201,4.0,-95.4772725266992,29.808373011883,-95.34039174237782,29.81525478820259,13.25393530470419
2021-02-08,2021-02-15,210600,220200,48,201,4.0,-95.36493694980507,29.81655605029524,-95.34535987660318,29.827040425161115,2.2206801101625566
2021-02-08,2021-02-15,210600,220800,48,201,4.0,-95.33870373924574,29.830846903970553,-95.34535987660318,29.827040425161115,0.7693537994152567
2021-02-08,2021-02-15,210600,222100,48,201,5.0,-95.33485200816477,29.87952892562481,-95.34535987660318,29.827040425161115,5.9062785029215865
2021-02-08,2021-02-15,210600,540601,48,201,4.0,-95.6324334733092,29.86219700891456,-95.34535987660318,29.827040425161115,28.01409529194594
2021-02-08,2021-02-15,210800,211000,48,201,5.0,-95.33214888345326,29.79709118922878,-95.32508927948481,29.81438352529337,2.0347127345604825
2021-02-08,2021-02-15,210800,211400,48,201,4.0,-95.3281844317412,29.765855575808306,-95.32508927948481,29.81438352529337,5.387588586734726
2021-02-08,2021-02-15,210800,220800,48,201,4.0,-95.33870373924574,29.830846903970553,-95.32508927948481,29.81438352529337,2.2499245945808184
2021-02-08,2021-02-15,210800,222200,48,201,4.0,-95.32365678946933,29.894006114669466,-95.32508927948481,29.81438352529337,8.827248458455347
2021-02-08,2021-02-15,210800,230300,48,201,4.0,-95.31271959612924,29.834733283177915,-95.32508927948481,29.81438352529337,2.553019829574117
2021-02-08,2021-02-15,210800,555303,48,201,4.0,-95.5706267208028,30.134040973404183,-95.32508927948481,29.81438352529337,42.62823138735036
2021-02-08,2021-02-15,211200,230400,48,201,4.0,-95.32520075126693,29.830587675967912,-95.3003735110632,29.81817343959775,2.766264266163635
2021-02-08,2021-02-15,211400,211400,48,201,12.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-02-08,2021-02-15,211900,211600,48,201,4.0,-95.3115924142803,29.780919314997107,-95.27950976465496,29.803816949955912,4.0080546716452305
2021-02-08,2021-02-15,211900,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.27950976465496,29.803816949955912,1.873791582589258
2021-02-08,2021-02-15,211900,220100,48,201,4.0,-95.34346359932209,29.815162746501016,-95.27950976465496,29.803816949955912,6.309045430064203
2021-02-08,2021-02-15,211900,322100,48,201,4.0,-95.21042119968175,29.690043155372216,-95.27950976465496,29.803816949955912,14.272865490496159
2021-02-08,2021-02-15,211900,332600,48,201,4.0,-95.3068505827986,29.675008477948236,-95.27950976465496,29.803816949955912,14.52107104795052
