date_range_start,date_range_end,School_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,School_LON,School_LAT,Distance_Covered (km)
2021-01-11,2021-01-18,210500,210500,48,201,11.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764549514
2021-01-11,2021-01-18,210500,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.34039174237782,29.81525478820259,2.165375806507984
2021-01-11,2021-01-18,210500,412300,48,201,4.0,-95.42417743958704,29.715754614491026,-95.34039174237782,29.81525478820259,13.686087591279724
2021-01-11,2021-01-18,210600,232600,48,201,5.0,-95.24943242915597,29.783180127814624,-95.34535987660318,29.827040425161115,10.470893646327747
2021-01-11,2021-01-18,210800,210800,48,201,4.0,-95.34508927948481,29.79438352529337,-95.32508927948481,29.81438352529337,2.941671669763153
2021-01-11,2021-01-18,210800,230300,48,201,4.0,-95.31271959612924,29.834733283177915,-95.32508927948481,29.81438352529337,2.553019829574117
2021-01-11,2021-01-18,210800,233200,48,201,4.0,-95.19213609393428,29.779685438481113,-95.32508927948481,29.81438352529337,13.41728751661791
2021-01-11,2021-01-18,210800,533000,48,201,4.0,-95.46173351393176,29.889324358683705,-95.32508927948481,29.81438352529337,15.599695211697084
2021-01-11,2021-01-18,210800,554501,48,201,5.0,-95.66331184573829,30.011614389737982,-95.32508927948481,29.81438352529337,39.304220028527816
2021-01-11,2021-01-18,211200,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.3003735110632,29.81817343959775,6.402108420234081
2021-01-11,2021-01-18,211200,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.3003735110632,29.81817343959775,3.859687951629191
2021-01-11,2021-01-18,211200,530300,48,201,4.0,-95.38878982303882,29.817525961047057,-95.3003735110632,29.81817343959775,8.546798626387817
2021-01-11,2021-01-18,211200,531300,48,201,4.0,-95.46393677236894,29.823077430618437,-95.3003735110632,29.81817343959775,15.81925653601301
2021-01-11,2021-01-18,211400,211400,48,201,4.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-01-11,2021-01-18,211400,211900,48,201,4.0,-95.29950976465496,29.783816949955913,-95.30818443174121,29.785855575808306,0.8686936337511767
2021-01-11,2021-01-18,211700,251600,48,201,4.0,-95.11343513893492,30.1013619377644,-95.28463973134097,29.820229337643998,35.274426505430505
2021-01-11,2021-01-18,211900,211900,48,201,4.0,-95.29950976465496,29.783816949955913,-95.27950976465496,29.803816949955912,2.941802551125056
2021-01-11,2021-01-18,211900,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.27950976465496,29.803816949955912,1.873791582589258
2021-01-11,2021-01-18,211900,230100,48,201,4.0,-95.33001773553856,29.81406204639238,-95.27950976465496,29.803816949955912,5.012967522687277
2021-01-11,2021-01-18,212300,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.33496487225383,29.79520173301338,3.2182475012419007
2021-01-11,2021-01-18,212300,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.33496487225383,29.79520173301338,1.4486760871366113
2021-01-11,2021-01-18,212300,230700,48,201,4.0,-95.30992678191907,29.853007069047592,-95.33496487225383,29.79520173301338,6.849474735935087
2021-01-11,2021-01-18,212300,532700,48,201,4.0,-95.48068345806662,29.876391508286346,-95.33496487225383,29.79520173301338,16.71306099927956
2021-01-11,2021-01-18,212500,212500,48,201,4.0,-95.27957072565626,29.754279827791148,-95.25957072565626,29.774279827791148,2.9421682257630564
2021-01-11,2021-01-18,212500,333000,48,201,4.0,-95.28490137894693,29.681572696588095,-95.25957072565626,29.774279827791148,10.564567112858917
2021-01-11,2021-01-18,220200,222300,48,201,4.0,-95.34889743848643,29.896237960154107,-95.34493694980507,29.83655605029524,6.6268077688694875
2021-01-11,2021-01-18,220200,222502,48,201,4.0,-95.38790883649531,29.92387884582446,-95.34493694980507,29.83655605029524,10.532336734972214
2021-01-11,2021-01-18,220200,231600,48,201,4.0,-95.3074846673122,29.861744420320807,-95.34493694980507,29.83655605029524,4.570968281444309
2021-01-11,2021-01-18,220200,314001,48,201,4.0,-95.39239094708623,29.698934723057103,-95.34493694980507,29.83655605029524,15.930482740968756
2021-01-11,2021-01-18,220200,532502,48,201,4.0,-95.5002741331924,29.886023571172128,-95.34493694980507,29.83655605029524,15.97904166437273
2021-01-11,2021-01-18,220300,221200,48,201,4.0,-95.37403478726925,29.86459525749974,-95.34565876993182,29.84423685457451,3.5511620061072073
2021-01-11,2021-01-18,220300,531100,48,201,4.0,-95.43774397936241,29.82487506374947,-95.34565876993182,29.84423685457451,9.154797880509369
2021-01-11,2021-01-18,220400,220500,48,201,6.0,-95.38146449708586,29.836206212409543,-95.34599835919099,29.853034413346037,3.9020776838363918
2021-01-11,2021-01-18,220600,220300,48,201,4.0,-95.36565876993181,29.82423685457451,-95.34688015395994,29.861805130717702,4.542658739638891
2021-01-11,2021-01-18,220600,220400,48,201,9.0,-95.36599835919098,29.833034413346038,-95.34688015395994,29.861805130717702,3.685688324042758
2021-01-11,2021-01-18,220600,220500,48,201,4.0,-95.38146449708586,29.836206212409543,-95.34688015395994,29.861805130717702,4.384158713085121
2021-01-11,2021-01-18,220600,221000,48,201,4.0,-95.3446748913805,29.85970113525277,-95.34688015395994,29.861805130717702,0.31590486435468634
2021-01-11,2021-01-18,220800,220800,48,201,4.0,-95.33870373924574,29.830846903970553,-95.31870373924575,29.850846903970552,2.941219757173717
2021-01-11,2021-01-18,220800,230400,48,201,4.0,-95.32520075126693,29.830587675967912,-95.31870373924575,29.850846903970552,2.3318508114947814
2021-01-11,2021-01-18,220800,230500,48,201,4.0,-95.32871841838849,29.848549831231207,-95.31870373924575,29.850846903970552,1.0006706070991547
2021-01-11,2021-01-18,220800,553401,48,201,4.0,-95.44376602551114,30.041159630989586,-95.31870373924575,29.850846903970552,24.306899188309988
2021-01-11,2021-01-18,221000,220800,48,201,4.0,-95.33870373924574,29.830846903970553,-95.32467489138051,29.87970113525277,5.582568488243601
2021-01-11,2021-01-18,221000,221100,48,201,4.0,-95.35623267076588,29.859871517115696,-95.32467489138051,29.87970113525277,3.7586261770818847
2021-01-11,2021-01-18,221000,221200,48,201,4.0,-95.37403478726925,29.86459525749974,-95.32467489138051,29.87970113525277,5.054097474435865
2021-01-11,2021-01-18,221000,221400,48,201,4.0,-95.39156714413038,29.85343575395205,-95.32467489138051,29.87970113525277,7.088354117949478
2021-01-11,2021-01-18,221200,221400,48,201,4.0,-95.39156714413038,29.85343575395205,-95.35403478726926,29.88459525749974,5.007894667669171
2021-01-11,2021-01-18,221400,221200,48,201,4.0,-95.37403478726925,29.86459525749974,-95.37156714413038,29.873435753952048,1.0085537828099174
2021-01-11,2021-01-18,222000,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.31711571651395,29.888392481248268,10.005717372181525
2021-01-11,2021-01-18,222000,222100,48,201,4.0,-95.33485200816477,29.87952892562481,-95.31711571651395,29.888392481248268,1.9750311857695133
2021-01-11,2021-01-18,222100,221200,48,201,4.0,-95.37403478726925,29.86459525749974,-95.31485200816478,29.89952892562481,6.90510151007252
2021-01-11,2021-01-18,222100,221800,48,201,4.0,-95.36110160668426,29.882439807436544,-95.31485200816478,29.89952892562481,4.8523682450710215
2021-01-11,2021-01-18,222100,222900,48,201,5.0,-95.34481880296913,29.914380757718657,-95.31485200816478,29.89952892562481,3.329582299494889
2021-01-11,2021-01-18,222100,223002,48,201,4.0,-95.3276960184801,29.906774025731075,-95.31485200816478,29.89952892562481,1.4777624165233068
2021-01-11,2021-01-18,222100,231100,48,201,4.0,-95.25255521107573,29.828956826520958,-95.31485200816478,29.89952892562481,9.870459162681797
2021-01-11,2021-01-18,222100,254300,48,201,4.0,-94.97335242216244,29.74223227900456,-95.31485200816478,29.89952892562481,37.33117933944076
2021-01-11,2021-01-18,222200,221100,48,201,4.0,-95.35623267076588,29.859871517115696,-95.30365678946933,29.914006114669466,7.861442728481161
2021-01-11,2021-01-18,222200,222100,48,201,13.0,-95.33485200816477,29.87952892562481,-95.30365678946933,29.914006114669466,4.866683513315399
2021-01-11,2021-01-18,222200,222200,48,201,16.0,-95.32365678946933,29.894006114669466,-95.30365678946933,29.914006114669466,2.940436018950493
2021-01-11,2021-01-18,222200,222300,48,201,8.0,-95.34889743848643,29.896237960154107,-95.30365678946933,29.914006114669466,4.7926728046484275
2021-01-11,2021-01-18,222200,222800,48,201,4.0,-95.36626410398357,29.918118924961256,-95.30365678946933,29.914006114669466,6.062989410689486
2021-01-11,2021-01-18,222200,222900,48,201,15.0,-95.34481880296913,29.914380757718657,-95.30365678946933,29.914006114669466,3.975198755959913
2021-01-11,2021-01-18,222200,223001,48,201,8.0,-95.31911983946277,29.912330166596842,-95.30365678946933,29.914006114669466,1.5047816096255875
2021-01-11,2021-01-18,222200,223002,48,201,4.0,-95.3276960184801,29.906774025731075,-95.30365678946933,29.914006114669466,2.4560598681288894
2021-01-11,2021-01-18,222200,223100,48,201,4.0,-95.32321968100139,29.925282130748098,-95.30365678946933,29.914006114669466,2.265166688168047
2021-01-11,2021-01-18,222200,230500,48,201,8.0,-95.32871841838849,29.848549831231207,-95.30365678946933,29.914006114669466,7.649091597433122
2021-01-11,2021-01-18,222200,230600,48,201,4.0,-95.3092658042534,29.844872283241784,-95.30365678946933,29.914006114669466,7.682645406259192
2021-01-11,2021-01-18,222200,231700,48,201,6.0,-95.31985967156243,29.876120695170137,-95.30365678946933,29.914006114669466,4.481747794343964
