date_range_start,date_range_end,School_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,School_LON,School_LAT,Distance_Covered (km)
2021-02-01,2021-02-08,210400,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.34219926321468,29.806441640280504,1.0949530295508854
2021-02-01,2021-02-08,210500,210500,48,201,16.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764549514
2021-02-01,2021-02-08,210500,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.34039174237782,29.81525478820259,2.7074398117116574
2021-02-01,2021-02-08,210500,454600,48,201,4.0,-95.73569848913077,29.78046816520515,-95.34039174237782,29.81525478820259,38.41275504872134
2021-02-01,2021-02-08,210500,521800,48,201,4.0,-95.55479036867787,29.850243637443846,-95.34039174237782,29.81525478820259,21.080979191968876
2021-02-01,2021-02-08,210800,211000,48,201,5.0,-95.33214888345326,29.79709118922878,-95.32508927948481,29.81438352529337,2.0347127345604825
2021-02-01,2021-02-08,210800,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.32508927948481,29.81438352529337,1.8538049791780273
2021-02-01,2021-02-08,210800,211400,48,201,8.0,-95.3281844317412,29.765855575808306,-95.32508927948481,29.81438352529337,5.387588586734726
2021-02-01,2021-02-08,210800,221000,48,201,4.0,-95.3446748913805,29.85970113525277,-95.32508927948481,29.81438352529337,5.3682177601939465
2021-02-01,2021-02-08,210800,230100,48,201,4.0,-95.33001773553856,29.81406204639238,-95.32508927948481,29.81438352529337,0.4777425314302874
2021-02-01,2021-02-08,210800,230300,48,201,4.0,-95.31271959612924,29.834733283177915,-95.32508927948481,29.81438352529337,2.553019829574117
2021-02-01,2021-02-08,210800,231700,48,201,4.0,-95.31985967156243,29.876120695170137,-95.32508927948481,29.81438352529337,6.862189492345952
2021-02-01,2021-02-08,210800,241103,48,201,6.0,-95.3794666762334,30.04770893023658,-95.32508927948481,29.81438352529337,26.391926197048686
2021-02-01,2021-02-08,211200,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.3003735110632,29.81817343959775,2.0313952029832083
2021-02-01,2021-02-08,211200,230400,48,201,6.0,-95.32520075126693,29.830587675967912,-95.3003735110632,29.81817343959775,2.766264266163635
2021-02-01,2021-02-08,211200,530400,48,201,4.0,-95.3879777040064,29.82612305451284,-95.3003735110632,29.81817343959775,8.513363376831176
2021-02-01,2021-02-08,211400,211400,48,201,4.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-02-01,2021-02-08,211400,230900,48,201,4.0,-95.28097590593167,29.817866387035284,-95.30818443174121,29.785855575808306,4.417034097792103
2021-02-01,2021-02-08,211700,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.28463973134097,29.820229337643998,5.260397477375092
2021-02-01,2021-02-08,211900,211600,48,201,4.0,-95.3115924142803,29.780919314997107,-95.27950976465496,29.803816949955912,4.0080546716452305
2021-02-01,2021-02-08,211900,211900,48,201,8.0,-95.29950976465496,29.783816949955913,-95.27950976465496,29.803816949955912,2.941802551125056
2021-02-01,2021-02-08,211900,220100,48,201,4.0,-95.34346359932209,29.815162746501016,-95.27950976465496,29.803816949955912,6.309045430064203
2021-02-01,2021-02-08,211900,530600,48,201,4.0,-95.40520525231075,29.831331035814156,-95.27950976465496,29.803816949955912,12.526960561678456
2021-02-01,2021-02-08,212300,210400,48,201,8.0,-95.36219926321468,29.786441640280504,-95.33496487225383,29.79520173301338,2.806577453661138
2021-02-01,2021-02-08,212300,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.33496487225383,29.79520173301338,0.34349860784883846
2021-02-01,2021-02-08,212300,220400,48,201,4.0,-95.36599835919098,29.833034413346038,-95.33496487225383,29.79520173301338,5.156216143032781
2021-02-01,2021-02-08,212300,330700,48,201,4.0,-95.44215531054026,29.5982132620157,-95.33496487225383,29.79520173301338,24.174557899710518
2021-02-01,2021-02-08,212300,533100,48,201,4.0,-95.45570449307621,29.87619821251522,-95.33496487225383,29.79520173301338,14.723263530924187
2021-02-01,2021-02-08,212500,212500,48,201,8.0,-95.27957072565626,29.754279827791148,-95.25957072565626,29.774279827791148,2.9421682257630564
2021-02-01,2021-02-08,212500,232500,48,201,4.0,-95.24581243981287,29.80557888117798,-95.25957072565626,29.774279827791148,3.7157528946596843
2021-02-01,2021-02-08,212500,233200,48,201,4.0,-95.19213609393428,29.779685438481113,-95.25957072565626,29.774279827791148,6.54848780640212
2021-02-01,2021-02-08,212500,233702,48,201,4.0,-95.23788869738793,29.747392785389962,-95.25957072565626,29.774279827791148,3.6441980541123584
2021-02-01,2021-02-08,220200,220200,48,201,5.0,-95.36493694980507,29.81655605029524,-95.34493694980507,29.83655605029524,2.9413969211206807
2021-02-01,2021-02-08,220200,220400,48,201,4.0,-95.36599835919098,29.833034413346038,-95.34493694980507,29.83655605029524,2.0725897776004767
2021-02-01,2021-02-08,220200,220500,48,201,4.0,-95.38146449708586,29.836206212409543,-95.34493694980507,29.83655605029524,3.5303873431434494
2021-02-01,2021-02-08,220300,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.34565876993182,29.84423685457451,4.2264232420820536
2021-02-01,2021-02-08,220300,220300,48,201,4.0,-95.36565876993181,29.82423685457451,-95.34565876993182,29.84423685457451,2.941301709881175
2021-02-01,2021-02-08,220300,220500,48,201,4.0,-95.38146449708586,29.836206212409543,-95.34565876993182,29.84423685457451,3.5729539652929274
2021-02-01,2021-02-08,220300,531100,48,201,4.0,-95.43774397936241,29.82487506374947,-95.34565876993182,29.84423685457451,9.154797880509369
2021-02-01,2021-02-08,220300,531300,48,201,4.0,-95.46393677236894,29.823077430618437,-95.34565876993182,29.84423685457451,11.66934052559953
2021-02-01,2021-02-08,220400,220200,48,201,4.0,-95.36493694980507,29.81655605029524,-95.34599835919099,29.853034413346037,4.4385736064485695
