date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-03-01,2021-03-08,210400,210500,48,201,4.0,-95.36039174237781,29.79525478820259,-95.34219926321468,29.806441640280504,2.152016214537904
2021-03-01,2021-03-08,210400,210800,48,201,7.0,-95.34508927948481,29.79438352529337,-95.34219926321468,29.806441640280504,1.3655213818537277
2021-03-01,2021-03-08,210400,222100,48,201,4.0,-95.33485200816477,29.87952892562481,-95.34219926321468,29.806441640280504,8.13276418373663
2021-03-01,2021-03-08,210400,230700,48,201,4.0,-95.30992678191907,29.853007069047592,-95.34219926321468,29.806441640280504,6.030992153720058
2021-03-01,2021-03-08,210400,231300,48,201,7.0,-95.27165862621483,29.85769836312809,-95.34219926321468,29.806441640280504,8.874843033057026
2021-03-01,2021-03-08,210400,254300,48,201,4.0,-94.97335242216244,29.74223227900456,-95.34219926321468,29.806441640280504,36.3720822706006
2021-03-01,2021-03-08,210400,511400,48,201,4.0,-95.38312416289095,29.795787810576908,-95.34219926321468,29.806441640280504,4.1290317132479935
2021-03-01,2021-03-08,210500,210500,48,201,18.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764542445
2021-03-01,2021-03-08,210500,210600,48,201,9.0,-95.36535987660318,29.807040425161116,-95.34039174237782,29.81525478820259,2.579675505558643
2021-03-01,2021-03-08,210500,212300,48,201,4.0,-95.35496487225383,29.77520173301338,-95.34039174237782,29.81525478820259,4.658049693293142
2021-03-01,2021-03-08,210500,220200,48,201,14.0,-95.36493694980507,29.81655605029524,-95.34039174237782,29.81525478820259,2.377015329324213
2021-03-01,2021-03-08,210500,220300,48,201,4.0,-95.36565876993181,29.82423685457451,-95.34039174237782,29.81525478820259,2.6374677978532812
2021-03-01,2021-03-08,210500,233101,48,201,4.0,-95.17932741942595,29.787529739197378,-95.34039174237782,29.81525478820259,15.871736144452232
2021-03-01,2021-03-08,210500,233600,48,201,4.0,-95.259500459925,29.75093230535312,-95.34039174237782,29.81525478820259,10.583888193274651
2021-03-01,2021-03-08,210500,241101,48,201,4.0,-95.38911832832937,30.062464641839078,-95.34039174237782,29.81525478820259,27.804420741724904
2021-03-01,2021-03-08,210500,251902,48,201,4.0,-95.09618864708507,29.90810929867071,-95.34039174237782,29.81525478820259,25.742206767602173
2021-03-01,2021-03-08,210500,511600,48,201,4.0,-95.37704192276853,29.80301155870071,-95.34039174237782,29.81525478820259,3.794024217768876
2021-03-01,2021-03-08,210600,210500,48,201,4.0,-95.36039174237781,29.79525478820259,-95.34535987660318,29.827040425161115,3.8112950617123627
2021-03-01,2021-03-08,210600,222401,48,201,4.0,-95.39465702073797,29.90058042578654,-95.34535987660318,29.827040425161115,9.441385879971453
2021-03-01,2021-03-08,210700,211900,48,201,4.0,-95.29950976465496,29.783816949955913,-95.33352079308406,29.826730618144694,5.782678163682293
2021-03-01,2021-03-08,210700,530200,48,201,4.0,-95.4242815915388,29.815809264090735,-95.33352079308406,29.826730618144694,8.855958960019995
2021-03-01,2021-03-08,210900,211700,48,201,5.0,-95.30463973134097,29.800229337643998,-95.31124261588128,29.824158522300767,2.7282480737356325
2021-03-01,2021-03-08,210900,230800,48,201,4.0,-95.29372358667085,29.839827323928695,-95.31124261588128,29.824158522300767,2.4256201392204866
2021-03-01,2021-03-08,211000,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.31214888345326,29.81709118922878,2.9416381261332614
2021-03-01,2021-03-08,211000,231600,48,201,4.0,-95.3074846673122,29.861744420320807,-95.31214888345326,29.81709118922878,4.970280839393264
2021-03-01,2021-03-08,211000,330400,48,201,5.0,-95.45550717909441,29.616688532288162,-95.31214888345326,29.81709118922878,26.189295529695077
2021-03-01,2021-03-08,211000,531300,48,201,4.0,-95.46393677236894,29.823077430618437,-95.31214888345326,29.81709118922878,14.686791635529099
2021-03-01,2021-03-08,211200,310300,48,201,4.0,-95.33597465645167,29.73645598452347,-95.3003735110632,29.81817343959775,9.690421009027364
2021-03-01,2021-03-08,211400,211400,48,201,8.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-03-01,2021-03-08,211400,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.30818443174121,29.785855575808306,2.285742422989822
2021-03-01,2021-03-08,211400,534003,48,201,4.0,-95.5124370340759,29.930164016173286,-95.30818443174121,29.785855575808306,25.404395733171814
2021-03-01,2021-03-08,211600,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.2915924142803,29.800919314997106,1.2637131413460967
2021-03-01,2021-03-08,211600,232701,48,201,5.0,-95.2278273334352,29.788649630360545,-95.2915924142803,29.800919314997106,6.313316620842268
2021-03-01,2021-03-08,211900,211900,48,201,17.0,-95.29950976465496,29.783816949955913,-95.27950976465496,29.803816949955912,2.9418025511243506
2021-03-01,2021-03-08,211900,212400,48,201,8.0,-95.28462135414885,29.787511485285773,-95.27950976465496,29.803816949955912,1.873791582589258
2021-03-01,2021-03-08,211900,252700,48,201,4.0,-95.0272109270252,29.915664438607546,-95.27950976465496,29.803816949955912,27.349251748822358
2021-03-01,2021-03-08,211900,320500,48,201,4.0,-95.24531443696365,29.69876411718843,-95.27950976465496,29.803816949955912,12.10554856519379
2021-03-01,2021-03-08,212300,210400,48,201,19.0,-95.36219926321468,29.786441640280504,-95.33496487225383,29.79520173301338,2.806577453661844
2021-03-01,2021-03-08,212300,210500,48,201,9.0,-95.36039174237781,29.79525478820259,-95.33496487225383,29.79520173301338,2.4583722780559865
2021-03-01,2021-03-08,212300,210800,48,201,4.0,-95.34508927948481,29.79438352529337,-95.33496487225383,29.79520173301338,0.9830627577686082
2021-03-01,2021-03-08,212300,211200,48,201,9.0,-95.3203735110632,29.79817343959775,-95.33496487225383,29.79520173301338,1.4486760871366102
2021-03-01,2021-03-08,212300,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.33496487225383,29.79520173301338,2.984373552427766
2021-03-01,2021-03-08,212300,212300,48,201,22.0,-95.35496487225383,29.77520173301338,-95.33496487225383,29.79520173301338,2.941909236789898
2021-03-01,2021-03-08,212300,222000,48,201,5.0,-95.33711571651395,29.868392481248268,-95.33496487225383,29.79520173301338,8.115828763587645
2021-03-01,2021-03-08,212300,222402,48,201,4.0,-95.38845568912652,29.909137931012296,-95.33496487225383,29.79520173301338,13.646556348668685
2021-03-01,2021-03-08,212300,311300,48,201,4.0,-95.29457040560914,29.709731287175742,-95.33496487225383,29.79520173301338,10.248280466548778
2021-03-01,2021-03-08,212300,531300,48,201,7.0,-95.46393677236894,29.823077430618437,-95.33496487225383,29.79520173301338,12.844966756156513
2021-03-01,2021-03-08,212300,532800,48,201,4.0,-95.47147046736113,29.87275272926765,-95.33496487225383,29.79520173301338,15.746407097452723
