date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-01-25,2021-02-01,210400,210400,48,201,21.0,-95.36219926321468,29.786441640280504,-95.34219926321468,29.806441640280504,2.9417700439897794
2021-01-25,2021-02-01,210400,210800,48,201,4.0,-95.34508927948481,29.79438352529337,-95.34219926321468,29.806441640280504,1.3655213818537277
2021-01-25,2021-02-01,210400,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.34219926321468,29.806441640280504,3.695825131316218
2021-01-25,2021-02-01,210400,231000,48,201,4.0,-95.27707190639502,29.840216866984427,-95.34219926321468,29.806441640280504,7.3242246944039175
2021-01-25,2021-02-01,210400,553300,48,201,4.0,-95.43473621636295,30.026526125003144,-95.34219926321468,29.806441640280504,25.981645360431955
2021-01-25,2021-02-01,210500,210400,48,201,8.0,-95.36219926321468,29.786441640280504,-95.34039174237782,29.81525478820259,3.8270173798531393
2021-01-25,2021-02-01,210500,210500,48,201,12.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764542445
2021-01-25,2021-02-01,210500,210600,48,201,11.0,-95.36535987660318,29.807040425161116,-95.34039174237782,29.81525478820259,2.579675505558643
2021-01-25,2021-02-01,210500,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.34039174237782,29.81525478820259,1.5822821334420942
2021-01-25,2021-02-01,210500,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.34039174237782,29.81525478820259,2.16537580650763
2021-01-25,2021-02-01,210500,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.34039174237782,29.81525478820259,2.707439811711305
2021-01-25,2021-02-01,210500,220100,48,201,4.0,-95.34346359932209,29.815162746501016,-95.34039174237782,29.81525478820259,0.29711486764780737
2021-01-25,2021-02-01,210500,220300,48,201,4.0,-95.36565876993181,29.82423685457451,-95.34039174237782,29.81525478820259,2.6374677978532812
2021-01-25,2021-02-01,210500,220400,48,201,4.0,-95.36599835919098,29.833034413346038,-95.34039174237782,29.81525478820259,3.1638710227077422
2021-01-25,2021-02-01,210500,511600,48,201,8.0,-95.37704192276853,29.80301155870071,-95.34039174237782,29.81525478820259,3.794024217768876
2021-01-25,2021-02-01,210600,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.34535987660318,29.827040425161115,2.9415148515981273
