date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-03-15,2021-03-22,210400,210400,48,201,19.0,-95.36219926321468,29.786441640280504,-95.34219926321468,29.806441640280504,2.9417700439897794
2021-03-15,2021-03-22,210400,210500,48,201,4.0,-95.36039174237781,29.79525478820259,-95.34219926321468,29.806441640280504,2.152016214537904
2021-03-15,2021-03-22,210400,210800,48,201,4.0,-95.34508927948481,29.79438352529337,-95.34219926321468,29.806441640280504,1.3655213818537277
2021-03-15,2021-03-22,210400,212300,48,201,4.0,-95.35496487225383,29.77520173301338,-95.34219926321468,29.806441640280504,3.6763019816792566
2021-03-15,2021-03-22,210400,410300,48,201,4.0,-95.40371068817358,29.756739459605143,-95.34219926321468,29.806441640280504,8.107528226411887
2021-03-15,2021-03-22,210400,530900,48,201,4.0,-95.42014723249923,29.835965257972806,-95.34219926321468,29.806441640280504,8.214433126148649
2021-03-15,2021-03-22,210500,210400,48,201,4.0,-95.36219926321468,29.786441640280504,-95.34039174237782,29.81525478820259,3.8270173798531393
2021-03-15,2021-03-22,210500,210500,48,201,18.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764542445
2021-03-15,2021-03-22,210500,210600,48,201,13.0,-95.36535987660318,29.807040425161116,-95.34039174237782,29.81525478820259,2.579675505558643
2021-03-15,2021-03-22,210500,210700,48,201,12.0,-95.35352079308406,29.806730618144694,-95.34039174237782,29.81525478820259,1.5822821334420942
2021-03-15,2021-03-22,210500,220200,48,201,5.0,-95.36493694980507,29.81655605029524,-95.34039174237782,29.81525478820259,2.377015329324213
2021-03-15,2021-03-22,210500,221200,48,201,5.0,-95.37403478726925,29.86459525749974,-95.34039174237782,29.81525478820259,6.362781097571414
2021-03-15,2021-03-22,210500,222401,48,201,4.0,-95.39465702073797,29.90058042578654,-95.34039174237782,29.81525478820259,10.8144609585536
2021-03-15,2021-03-22,210500,250500,48,201,4.0,-95.1961732193427,29.99311732149243,-95.34039174237782,29.81525478820259,24.139811127870885
2021-03-15,2021-03-22,210500,511400,48,201,5.0,-95.38312416289095,29.795787810576908,-95.34039174237782,29.81525478820259,4.660748574920029
2021-03-15,2021-03-22,210500,511600,48,201,4.0,-95.37704192276853,29.80301155870071,-95.34039174237782,29.81525478820259,3.794024217768876
2021-03-15,2021-03-22,210500,533000,48,201,4.0,-95.46173351393176,29.889324358683705,-95.34039174237782,29.81525478820259,14.314062534685863
2021-03-15,2021-03-22,210600,210600,48,201,7.0,-95.36535987660318,29.807040425161116,-95.34535987660318,29.827040425161115,2.9415148515981273
2021-03-15,2021-03-22,210600,310300,48,201,4.0,-95.33597465645167,29.73645598452347,-95.34535987660318,29.827040425161115,10.082101397004054
2021-03-15,2021-03-22,210600,533100,48,201,4.0,-95.45570449307621,29.87619821251522,-95.34535987660318,29.827040425161115,11.974261604104182
2021-03-15,2021-03-22,210600,555303,48,201,4.0,-95.5706267208028,30.134040973404183,-95.34535987660318,29.827040425161115,40.38258250540062
2021-03-15,2021-03-22,210700,210700,48,201,6.0,-95.35352079308406,29.806730618144694,-95.33352079308406,29.826730618144694,2.9415186906762822
2021-03-15,2021-03-22,210700,556000,48,201,4.0,-95.85847486357737,30.073793956113636,-95.33352079308406,29.826730618144694,57.60315146468862
2021-03-15,2021-03-22,210900,210900,48,201,8.0,-95.33124261588128,29.804158522300767,-95.31124261588128,29.824158522300767,2.941550562527197
2021-03-15,2021-03-22,210900,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.31124261588128,29.824158522300767,3.617561424115912
2021-03-15,2021-03-22,210900,233001,48,201,4.0,-95.1825604971158,29.79715292702817,-95.31124261588128,29.824158522300767,12.794686667062635
2021-03-15,2021-03-22,210900,330400,48,201,4.0,-95.45550717909441,29.616688532288162,-95.31124261588128,29.824158522300767,26.90214217907166
2021-03-15,2021-03-22,211000,211000,48,201,6.0,-95.33214888345326,29.79709118922878,-95.31214888345326,29.81709118922878,2.9416381261332614
2021-03-15,2021-03-22,211000,211200,48,201,5.0,-95.3203735110632,29.79817343959775,-95.31214888345326,29.81709118922878,2.2426881892342774
2021-03-15,2021-03-22,211000,220800,48,201,4.0,-95.33870373924574,29.830846903970553,-95.31214888345326,29.81709118922878,2.9854564369706598
2021-03-15,2021-03-22,211200,230100,48,201,4.0,-95.33001773553856,29.81406204639238,-95.3003735110632,29.81817343959775,2.901534951448351
2021-03-15,2021-03-22,211400,211400,48,201,15.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-03-15,2021-03-22,211400,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.30818443174121,29.785855575808306,2.285742422989822
2021-03-15,2021-03-22,211400,222200,48,201,4.0,-95.32365678946933,29.894006114669466,-95.30818443174121,29.785855575808306,12.081348360379508
2021-03-15,2021-03-22,211400,311100,48,201,4.0,-95.285183696909,29.733195817802272,-95.30818443174121,29.785855575808306,6.246780802039877
2021-03-15,2021-03-22,211400,511302,48,201,4.0,-95.39352378671659,29.79739959454746,-95.30818443174121,29.785855575808306,8.349861521665142
2021-03-15,2021-03-22,211600,211900,48,201,4.0,-95.29950976465496,29.783816949955913,-95.2915924142803,29.800919314997106,2.0444976155120727
2021-03-15,2021-03-22,211600,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.2915924142803,29.800919314997106,1.631928721281603
2021-03-15,2021-03-22,211600,254600,48,201,4.0,-94.99990857968102,29.716997787928378,-95.2915924142803,29.800919314997106,29.70541722891604
2021-03-15,2021-03-22,211700,210900,48,201,4.0,-95.33124261588128,29.804158522300767,-95.28463973134097,29.820229337643998,4.844417473443817
2021-03-15,2021-03-22,211700,211400,48,201,4.0,-95.3281844317412,29.765855575808306,-95.28463973134097,29.820229337643998,7.352105841202492
2021-03-15,2021-03-22,211900,211900,48,201,8.0,-95.29950976465496,29.783816949955913,-95.27950976465496,29.803816949955912,2.9418025511243506
2021-03-15,2021-03-22,211900,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.27950976465496,29.803816949955912,1.873791582589258
2021-03-15,2021-03-22,211900,230300,48,201,4.0,-95.31271959612924,29.834733283177915,-95.27950976465496,29.803816949955912,4.695673905676025
2021-03-15,2021-03-22,211900,231000,48,201,4.0,-95.27707190639502,29.840216866984427,-95.27950976465496,29.803816949955912,4.04178550176428
2021-03-15,2021-03-22,211900,231100,48,201,4.0,-95.25255521107573,29.828956826520958,-95.27950976465496,29.803816949955912,3.8150548482649786
2021-03-15,2021-03-22,211900,320500,48,201,4.0,-95.24531443696365,29.69876411718843,-95.27950976465496,29.803816949955912,12.10554856519379
2021-03-15,2021-03-22,211900,520100,48,201,4.0,-95.46043578508849,29.79227589579363,-95.27950976465496,29.803816949955912,17.538834767251643
2021-03-15,2021-03-22,212300,210400,48,201,13.0,-95.36219926321468,29.786441640280504,-95.33496487225383,29.79520173301338,2.806577453661844
2021-03-15,2021-03-22,212300,210500,48,201,7.0,-95.36039174237781,29.79525478820259,-95.33496487225383,29.79520173301338,2.4583722780559865
2021-03-15,2021-03-22,212300,210600,48,201,4.0,-95.36535987660318,29.807040425161116,-95.33496487225383,29.79520173301338,3.2182475012411937
2021-03-15,2021-03-22,212300,210800,48,201,10.0,-95.34508927948481,29.79438352529337,-95.33496487225383,29.79520173301338,0.9830627577686082
2021-03-15,2021-03-22,212300,211000,48,201,12.0,-95.33214888345326,29.79709118922878,-95.33496487225383,29.79520173301338,0.34349860784919134
2021-03-15,2021-03-22,212300,212300,48,201,10.0,-95.35496487225383,29.77520173301338,-95.33496487225383,29.79520173301338,2.941909236789898
2021-03-15,2021-03-22,212300,231900,48,201,4.0,-95.2789528133655,29.882440029941225,-95.33496487225383,29.79520173301338,11.082293392536013
2021-03-15,2021-03-22,212300,241101,48,201,4.0,-95.38911832832937,30.062464641839078,-95.33496487225383,29.79520173301338,30.084302731401742
2021-03-15,2021-03-22,212300,311300,48,201,4.0,-95.29457040560914,29.709731287175742,-95.33496487225383,29.79520173301338,10.248280466548778
2021-03-15,2021-03-22,212300,320602,48,201,4.0,-95.25845676608841,29.67799741838303,-95.33496487225383,29.79520173301338,14.95223209012254
2021-03-15,2021-03-22,212300,411100,48,201,4.0,-95.4140674511644,29.75039247839532,-95.33496487225383,29.79520173301338,9.120773156073298
2021-03-15,2021-03-22,212300,532800,48,201,4.0,-95.47147046736113,29.87275272926765,-95.33496487225383,29.79520173301338,15.746407097452723
2021-03-15,2021-03-22,212400,211600,48,201,4.0,-95.3115924142803,29.780919314997107,-95.26462135414886,29.807511485285772,5.414165922011832
2021-03-15,2021-03-22,212400,211900,48,201,11.0,-95.29950976465496,29.783816949955913,-95.26462135414886,29.807511485285772,4.275111210045488
