date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-03-01,2021-03-08,210500,210400,48,201,12.0,-95.36219926321468,29.786441640280504,-95.34039174237782,29.81525478820259,3.8270173798531393
2021-03-01,2021-03-08,210500,210500,48,201,28.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764542445
2021-03-01,2021-03-08,210500,210600,48,201,10.0,-95.36535987660318,29.807040425161116,-95.34039174237782,29.81525478820259,2.579675505558643
2021-03-01,2021-03-08,210500,210700,48,201,4.0,-95.35352079308406,29.806730618144694,-95.34039174237782,29.81525478820259,1.5822821334420942
2021-03-01,2021-03-08,210500,211600,48,201,5.0,-95.3115924142803,29.780919314997107,-95.34039174237782,29.81525478820259,4.715786666493306
2021-03-01,2021-03-08,210500,212300,48,201,4.0,-95.35496487225383,29.77520173301338,-95.34039174237782,29.81525478820259,4.658049693293142
2021-03-01,2021-03-08,210500,220300,48,201,4.0,-95.36565876993181,29.82423685457451,-95.34039174237782,29.81525478820259,2.6374677978532812
2021-03-01,2021-03-08,210500,220400,48,201,4.0,-95.36599835919098,29.833034413346038,-95.34039174237782,29.81525478820259,3.1638710227077422
2021-03-01,2021-03-08,210500,230600,48,201,4.0,-95.3092658042534,29.844872283241784,-95.34039174237782,29.81525478820259,4.45294360778538
2021-03-01,2021-03-08,210500,251401,48,201,4.0,-95.19123699207458,30.080877510677322,-95.34039174237782,29.81525478820259,32.77677393529614
2021-03-01,2021-03-08,210500,313400,48,201,4.0,-95.338185785538,29.694188964749017,-95.34039174237782,29.81525478820259,13.421639128186445
2021-03-01,2021-03-08,210500,350601,48,201,4.0,-95.17263093186172,29.55458667846278,-95.34039174237782,29.81525478820259,33.14418779514189
2021-03-01,2021-03-08,210500,451700,48,201,4.0,-95.63151710461574,29.7324305032411,-95.34039174237782,29.81525478820259,29.612244326650348
2021-03-01,2021-03-08,210500,511600,48,201,4.0,-95.37704192276853,29.80301155870071,-95.34039174237782,29.81525478820259,3.794024217768876
2021-03-01,2021-03-08,210500,551300,48,201,4.0,-95.50713357747037,29.95179045605296,-95.34039174237782,29.81525478820259,22.102182630704252
2021-03-01,2021-03-08,210500,551400,48,201,4.0,-95.52292067358427,29.962702642254918,-95.34039174237782,29.81525478820259,24.04171579422079
2021-03-01,2021-03-08,210600,210400,48,201,8.0,-95.36219926321468,29.786441640280504,-95.34535987660318,29.827040425161115,4.785725557080317
2021-03-01,2021-03-08,210600,210500,48,201,9.0,-95.36039174237781,29.79525478820259,-95.34535987660318,29.827040425161115,3.8112950617123627
2021-03-01,2021-03-08,210600,210600,48,201,8.0,-95.36535987660318,29.807040425161116,-95.34535987660318,29.827040425161115,2.9415148515981273
2021-03-01,2021-03-08,210600,210700,48,201,13.0,-95.35352079308406,29.806730618144694,-95.34535987660318,29.827040425161115,2.3855355805831864
2021-03-01,2021-03-08,210600,211200,48,201,5.0,-95.3203735110632,29.79817343959775,-95.34535987660318,29.827040425161115,4.009141731300828
2021-03-01,2021-03-08,210600,342100,48,201,4.0,-95.14209959490461,29.656977635615277,-95.34535987660318,29.827040425161115,27.239182481125162
2021-03-01,2021-03-08,210600,423600,48,201,4.0,-95.51949594261283,29.6367521221865,-95.34535987660318,29.827040425161115,26.99497808294946
2021-03-01,2021-03-08,210600,451700,48,201,4.0,-95.63151710461574,29.7324305032411,-95.34535987660318,29.827040425161115,29.591717526428944
2021-03-01,2021-03-08,210600,532700,48,201,4.0,-95.48068345806662,29.876391508286346,-95.34535987660318,29.827040425161115,14.174449185630115
2021-03-01,2021-03-08,210600,533600,48,201,4.0,-95.42511149334365,29.90854222529019,-95.34535987660318,29.827040425161115,11.873956513528205
2021-03-01,2021-03-08,210800,210800,48,201,17.0,-95.34508927948481,29.79438352529337,-95.32508927948481,29.81438352529337,2.941671669762447
2021-03-01,2021-03-08,210800,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.32508927948481,29.81438352529337,2.0347127345601304
2021-03-01,2021-03-08,210800,211400,48,201,8.0,-95.3281844317412,29.765855575808306,-95.32508927948481,29.81438352529337,5.387588586734726
2021-03-01,2021-03-08,210800,211700,48,201,5.0,-95.30463973134097,29.800229337643998,-95.32508927948481,29.81438352529337,2.52385406069509
2021-03-01,2021-03-08,210800,211900,48,201,5.0,-95.29950976465496,29.783816949955913,-95.32508927948481,29.81438352529337,4.194792557620639
2021-03-01,2021-03-08,210800,212300,48,201,4.0,-95.35496487225383,29.77520173301338,-95.32508927948481,29.81438352529337,5.2160655832936085
2021-03-01,2021-03-08,210800,221800,48,201,4.0,-95.36110160668426,29.882439807436544,-95.32508927948481,29.81438352529337,8.307981684421032
2021-03-01,2021-03-08,210800,222100,48,201,8.0,-95.33485200816477,29.87952892562481,-95.32508927948481,29.81438352529337,7.2827227336399725
2021-03-01,2021-03-08,210800,230100,48,201,4.0,-95.33001773553856,29.81406204639238,-95.32508927948481,29.81438352529337,0.4777425314302874
2021-03-01,2021-03-08,210800,231200,48,201,4.0,-95.24618147099152,29.865248381251327,-95.32508927948481,29.81438352529337,9.483809145779281
2021-03-01,2021-03-08,210800,231300,48,201,4.0,-95.27165862621483,29.85769836312809,-95.32508927948481,29.81438352529337,7.051127099717434
2021-03-01,2021-03-08,210800,251402,48,201,8.0,-95.20131205193138,30.073209686569882,-95.32508927948481,29.81438352529337,31.080211561075753
2021-03-01,2021-03-08,210800,533500,48,201,4.0,-95.41849390703601,29.892789204495795,-95.32508927948481,29.81438352529337,12.529849475057514
2021-03-01,2021-03-08,210900,211000,48,201,4.0,-95.33214888345326,29.79709118922878,-95.31124261588128,29.824158522300767,3.617561424115912
2021-03-01,2021-03-08,210900,230800,48,201,4.0,-95.29372358667085,29.839827323928695,-95.31124261588128,29.824158522300767,2.4256201392204866
2021-03-01,2021-03-08,210900,331300,48,201,4.0,-95.37916571811081,29.64620155150449,-95.31124261588128,29.824158522300767,20.79181514034106
2021-03-01,2021-03-08,211000,211000,48,201,7.0,-95.33214888345326,29.79709118922878,-95.31214888345326,29.81709118922878,2.9416381261332614
2021-03-01,2021-03-08,211000,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.31214888345326,29.81709118922878,2.005137272587104
2021-03-01,2021-03-08,211000,220100,48,201,4.0,-95.34346359932209,29.815162746501016,-95.31214888345326,29.81709118922878,3.034533645248502
2021-03-01,2021-03-08,211000,310800,48,201,4.0,-95.31074244627084,29.730243014524724,-95.31214888345326,29.81709118922878,9.62796250057367
2021-03-01,2021-03-08,211000,313000,48,201,4.0,-95.37344554362708,29.7190689072635,-95.31214888345326,29.81709118922878,12.377516107342842
2021-03-01,2021-03-08,211000,321200,48,201,4.0,-95.20139327268038,29.636600818896966,-95.31214888345326,29.81709118922878,22.69584717628251
2021-03-01,2021-03-08,211000,321500,48,201,4.0,-95.21188071063928,29.665047123567806,-95.31214888345326,29.81709118922878,19.445589429389557
2021-03-01,2021-03-08,211000,323100,48,201,5.0,-95.16937159547794,29.688444502565797,-95.31214888345326,29.81709118922878,19.851270951570346
2021-03-01,2021-03-08,211000,350500,48,201,5.0,-95.19580448633182,29.582205762681717,-95.31214888345326,29.81709118922878,28.36665840061809
2021-03-01,2021-03-08,211000,552602,48,201,4.0,-95.57711321008303,29.975236354731123,-95.31214888345326,29.81709118922878,31.020438322559666
2021-03-01,2021-03-08,211200,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.3003735110632,29.81817343959775,2.941624718148993
2021-03-01,2021-03-08,211200,231300,48,201,4.0,-95.27165862621483,29.85769836312809,-95.3003735110632,29.81817343959775,5.186242187935097
2021-03-01,2021-03-08,211200,254100,48,201,4.0,-94.95587899550628,29.746360170903937,-95.3003735110632,29.81817343959775,34.24924447842978
2021-03-01,2021-03-08,211200,332200,48,201,6.0,-95.32992461050551,29.68056910987263,-95.3003735110632,29.81817343959775,15.518715034527073
2021-03-01,2021-03-08,211200,532600,48,201,4.0,-95.4862871801994,29.891851373547375,-95.3003735110632,29.81817343959775,19.7335548225566
2021-03-01,2021-03-08,211200,552602,48,201,4.0,-95.57711321008303,29.975236354731123,-95.3003735110632,29.81817343959775,31.899455887968934
2021-03-01,2021-03-08,211400,211200,48,201,4.0,-95.3203735110632,29.79817343959775,-95.30818443174121,29.785855575808306,1.8036894561654773
2021-03-01,2021-03-08,211400,211400,48,201,8.0,-95.3281844317412,29.765855575808306,-95.30818443174121,29.785855575808306,2.942024948090547
2021-03-01,2021-03-08,211400,211600,48,201,8.0,-95.3115924142803,29.780919314997107,-95.30818443174121,29.785855575808306,0.6387471648234532
