date_range_start,date_range_end,Groceries_TRACTCE,Home_TRACTCE,STATEFP,COUNTYFP,Visitor_Count,Home_LON,Home_LAT,Groceries_LON,Groceries_LAT,Distance_Covered (km)
2021-01-11,2021-01-18,210400,210400,48,201,4.0,-95.36219926321468,29.786441640280504,-95.34219926321468,29.806441640280504,2.9417700439897794
2021-01-11,2021-01-18,210400,211700,48,201,4.0,-95.30463973134097,29.800229337643998,-95.34219926321468,29.806441640280504,3.695825131316218
2021-01-11,2021-01-18,210400,220200,48,201,4.0,-95.36493694980507,29.81655605029524,-95.34219926321468,29.806441640280504,2.4674435176098455
2021-01-11,2021-01-18,210500,210400,48,201,16.0,-95.36219926321468,29.786441640280504,-95.34039174237782,29.81525478820259,3.8270173798531393
2021-01-11,2021-01-18,210500,210500,48,201,14.0,-95.36039174237781,29.79525478820259,-95.34039174237782,29.81525478820259,2.9416608764542445
2021-01-11,2021-01-18,210500,212300,48,201,8.0,-95.35496487225383,29.77520173301338,-95.34039174237782,29.81525478820259,4.658049693293142
2021-01-11,2021-01-18,210500,212400,48,201,4.0,-95.28462135414885,29.787511485285773,-95.34039174237782,29.81525478820259,6.2071469734781015
2021-01-11,2021-01-18,210500,230900,48,201,4.0,-95.28097590593167,29.817866387035284,-95.34039174237782,29.81525478820259,5.750618536333394
2021-01-11,2021-01-18,210500,231000,48,201,4.0,-95.27707190639502,29.840216866984427,-95.34039174237782,29.81525478820259,6.7164813115211075
2021-01-11,2021-01-18,210500,252400,48,201,4.0,-95.14285570059089,29.78183554924078,-95.34039174237782,29.81525478820259,19.453862840429757
2021-01-11,2021-01-18,210500,311200,48,201,4.0,-95.29903255303357,29.719303608322914,-95.34039174237782,29.81525478820259,11.363294983863883
2021-01-11,2021-01-18,210500,313000,48,201,4.0,-95.37344554362708,29.7190689072635,-95.34039174237782,29.81525478820259,11.130957075043344
2021-01-11,2021-01-18,210500,350601,48,201,4.0,-95.17263093186172,29.55458667846278,-95.34039174237782,29.81525478820259,33.14418779514189
2021-01-11,2021-01-18,210500,454600,48,201,4.0,-95.73569848913077,29.78046816520515,-95.34039174237782,29.81525478820259,38.41275504872135
2021-01-11,2021-01-18,210500,530400,48,201,4.0,-95.3879777040064,29.82612305451284,-95.34039174237782,29.81525478820259,4.754781114570946
